"","år","kön","Levande.födda","Dödfödda","Döda.under.första.levnadsåret","Döda.under.första.levnadsdygnet","Dödfödda.per.1.000.levande.födda.och.dödfödda","Döda.under.första.levnadsåret.per.1.000.levande.födda","Döda.under.första.levnadsdygnet.per.1.000.levande"
"181",1809,"båda könen",64300,1646,14917,NA,24.96,231.99,NA
"182",1809,"pojkar",32629,NA,8193,NA,NA,251.1,NA
"183",1809,"flickor",31671,NA,6724,NA,NA,212.31,NA
"184",1810,"båda könen",78916,1982,15211,NA,24.5,192.75,NA
"185",1810,"pojkar",40459,NA,8363,NA,NA,206.7,NA
"186",1810,"flickor",38457,NA,6848,NA,NA,178.07,NA
"187",1811,"båda könen",84862,2194,16451,NA,25.2,193.86,NA
"188",1811,"pojkar",43291,NA,8941,NA,NA,206.53,NA
"189",1811,"flickor",41571,NA,7510,NA,NA,180.65,NA
"190",1812,"båda könen",81079,1988,16504,NA,23.93,203.55,NA
"191",1812,"pojkar",41401,NA,8905,NA,NA,215.09,NA
"192",1812,"flickor",39678,NA,7599,NA,NA,191.52,NA
"193",1813,"båda könen",72021,1920,14290,NA,25.97,198.41,NA
"194",1813,"pojkar",36850,NA,7850,NA,NA,213.03,NA
"195",1813,"flickor",35171,NA,6440,NA,NA,183.11,NA
"196",1814,"båda könen",75837,1891,14796,NA,24.33,195.1,NA
"197",1814,"pojkar",38650,NA,8129,NA,NA,210.32,NA
"198",1814,"flickor",37187,NA,6667,NA,NA,179.28,NA
"199",1815,"båda könen",85239,2147,14478,NA,24.57,169.85,NA
"200",1815,"pojkar",43581,NA,7902,NA,NA,181.32,NA
"201",1815,"flickor",41658,NA,6576,NA,NA,157.86,NA
"202",1816,"båda könen",87644,2221,16081,NA,24.71,183.48,NA
"203",1816,"pojkar",44765,NA,8862,NA,NA,197.97,NA
"204",1816,"flickor",42879,NA,7219,NA,NA,168.36,NA
"205",1817,"båda könen",83821,2089,14984,NA,24.32,178.76,NA
"206",1817,"pojkar",42743,NA,8163,NA,NA,190.98,NA
"207",1817,"flickor",41078,NA,6821,NA,NA,166.05,NA
"208",1818,"båda könen",85714,2110,14458,NA,24.03,168.68,NA
"209",1818,"pojkar",43971,NA,8005,NA,NA,182.05,NA
"210",1818,"flickor",41743,NA,6453,NA,NA,154.59,NA
"211",1819,"båda könen",84250,2169,15423,NA,25.1,183.06,NA
"212",1819,"pojkar",43168,NA,8365,NA,NA,193.78,NA
"213",1819,"flickor",41082,NA,7058,NA,NA,171.8,NA
"214",1820,"båda könen",84841,2148,13867,NA,24.69,163.45,NA
"215",1820,"pojkar",43514,NA,7649,NA,NA,175.78,NA
"216",1820,"flickor",41327,NA,6218,NA,NA,150.46,NA
"217",1821,"båda könen",92072,2423,16386,NA,25.64,177.97,NA
"218",1821,"pojkar",47156,NA,8910,NA,NA,188.95,NA
"219",1821,"flickor",44916,NA,7476,NA,NA,166.44,NA
"220",1822,"båda könen",94309,2547,15485,NA,26.3,164.19,NA
"221",1822,"pojkar",48242,NA,8424,NA,NA,174.62,NA
"222",1822,"flickor",46067,NA,7061,NA,NA,153.28,NA
"223",1823,"båda könen",98259,2539,14494,NA,25.19,147.51,NA
"224",1823,"pojkar",50187,NA,8031,NA,NA,160.02,NA
"225",1823,"flickor",48072,NA,6463,NA,NA,134.44,NA
"226",1824,"båda könen",93577,2499,14582,NA,26.01,155.83,NA
"227",1824,"pojkar",47793,NA,7985,NA,NA,167.07,NA
"228",1824,"flickor",45784,NA,6597,NA,NA,144.09,NA
"229",1825,"båda könen",100315,2652,15448,NA,25.76,153.99,NA
"230",1825,"pojkar",51095,NA,8418,NA,NA,164.75,NA
"231",1825,"flickor",49220,NA,7030,NA,NA,142.83,NA
"232",1826,"båda könen",97125,2565,16664,NA,25.73,171.57,NA
"233",1826,"pojkar",49614,NA,9059,NA,NA,182.59,NA
"234",1826,"flickor",47511,NA,7605,NA,NA,160.07,NA
"235",1827,"båda könen",88138,2382,14157,NA,26.31,160.62,NA
"236",1827,"pojkar",45035,NA,7647,NA,NA,169.8,NA
"237",1827,"flickor",43103,NA,6510,NA,NA,151.03,NA
"238",1828,"båda könen",95354,2604,16241,NA,26.58,170.32,NA
"239",1828,"pojkar",48635,NA,8857,NA,NA,182.11,NA
"240",1828,"flickor",46719,NA,7384,NA,NA,158.05,NA
"241",1829,"båda könen",99488,2797,19297,NA,27.35,193.96,NA
"242",1829,"pojkar",50838,NA,10583,NA,NA,208.17,NA
"243",1829,"flickor",48650,NA,8714,NA,NA,179.12,NA
"244",1830,"båda könen",94626,2619,17079,NA,26.93,180.49,NA
"245",1830,"pojkar",48469,NA,9479,NA,NA,195.57,NA
"246",1830,"flickor",46157,NA,7600,NA,NA,164.66,NA
"247",1831,"båda könen",88253,2571,17497,NA,28.31,198.26,NA
"248",1831,"pojkar",45374,NA,9659,NA,NA,212.88,NA
"249",1831,"flickor",42879,NA,7838,NA,NA,182.79,NA
"250",1832,"båda könen",89862,2685,14918,NA,29.01,166.01,NA
"251",1832,"pojkar",46036,NA,8110,NA,NA,176.17,NA
"252",1832,"flickor",43826,NA,6808,NA,NA,155.34,NA
"253",1833,"båda könen",100309,2933,15986,NA,28.41,159.37,NA
"254",1833,"pojkar",51316,NA,8686,NA,NA,169.26,NA
"255",1833,"flickor",48993,NA,7300,NA,NA,149,NA
"256",1834,"båda könen",100231,3116,17387,NA,30.15,173.47,NA
"257",1834,"pojkar",51293,NA,9570,NA,NA,186.58,NA
"258",1834,"flickor",48938,NA,7817,NA,NA,159.73,NA
"259",1835,"båda könen",98144,3071,13984,NA,30.34,142.48,NA
"260",1835,"pojkar",50172,NA,7705,NA,NA,153.57,NA
"261",1835,"flickor",47972,NA,6279,NA,NA,130.89,NA
"262",1836,"båda könen",96857,3022,14776,NA,30.26,152.55,NA
"263",1836,"pojkar",49588,NA,8096,NA,NA,163.27,NA
"264",1836,"flickor",47269,NA,6680,NA,NA,141.32,NA
"265",1837,"båda könen",94616,2807,18439,NA,28.81,194.88,NA
"266",1837,"pojkar",48246,NA,10089,NA,NA,209.12,NA
"267",1837,"flickor",46370,NA,8350,NA,NA,180.07,NA
"268",1838,"båda könen",90565,2805,15934,NA,30.04,175.94,NA
"269",1838,"pojkar",46140,NA,8641,NA,NA,187.28,NA
"270",1838,"flickor",44425,NA,7293,NA,NA,164.16,NA
"271",1839,"båda könen",91363,2882,15002,NA,30.58,164.2,NA
"272",1839,"pojkar",46685,NA,8208,NA,NA,175.82,NA
"273",1839,"flickor",44678,NA,6794,NA,NA,152.07,NA
"274",1840,"båda könen",98160,3169,14295,NA,31.27,145.63,NA
"275",1840,"pojkar",50268,NA,7928,NA,NA,157.71,NA
"276",1840,"flickor",47892,NA,6367,NA,NA,132.94,NA
"277",1841,"båda könen",95734,3087,15242,NA,31.24,159.21,NA
"278",1841,"pojkar",48802,NA,8435,NA,NA,172.84,NA
"279",1841,"flickor",46932,NA,6807,NA,NA,145.04,NA
"280",1842,"båda könen",100976,3222,16338,NA,30.92,161.8,NA
"281",1842,"pojkar",51470,NA,9065,NA,NA,176.12,NA
"282",1842,"flickor",49506,NA,7273,NA,NA,146.91,NA
"283",1843,"båda könen",99154,3224,15808,NA,31.49,159.43,NA
"284",1843,"pojkar",50795,NA,8621,NA,NA,169.72,NA
"285",1843,"flickor",48359,NA,7187,NA,NA,148.62,NA
"286",1844,"båda könen",104693,3334,14739,NA,30.86,140.78,NA
"287",1844,"pojkar",53435,NA,8210,NA,NA,153.64,NA
"288",1844,"flickor",51258,NA,6529,NA,NA,127.38,NA
"289",1845,"båda könen",103660,3274,15405,NA,30.62,148.61,NA
"290",1845,"pojkar",52582,NA,8389,NA,NA,159.54,NA
"291",1845,"flickor",51078,NA,7016,NA,NA,137.36,NA
"292",1846,"båda könen",99703,3203,16266,NA,31.13,163.14,NA
"293",1846,"pojkar",51252,NA,8904,NA,NA,173.73,NA
"294",1846,"flickor",48451,NA,7362,NA,NA,151.95,NA
"295",1847,"båda könen",99179,3094,17178,NA,30.25,173.2,NA
"296",1847,"pojkar",50898,NA,9364,NA,NA,183.98,NA
"297",1847,"flickor",48281,NA,7814,NA,NA,161.84,NA
"298",1848,"båda könen",102524,3356,14453,NA,31.7,140.97,NA
"299",1848,"pojkar",52447,NA,8016,NA,NA,152.84,NA
"300",1848,"flickor",50077,NA,6437,NA,NA,128.54,NA
"301",1849,"båda könen",112304,3697,15918,NA,31.87,141.74,NA
"302",1849,"pojkar",57248,NA,8831,NA,NA,154.26,NA
"303",1849,"flickor",55056,NA,7087,NA,NA,128.72,NA
"304",1850,"båda könen",110399,3652,16142,NA,32.02,146.22,NA
"305",1850,"pojkar",56590,NA,8997,NA,NA,158.99,NA
"306",1850,"flickor",53809,NA,7145,NA,NA,132.78,NA
"307",1851,"båda könen",111065,3745,16891,NA,32.62,152.08,NA
"308",1851,"pojkar",56896,NA,9412,NA,NA,165.42,NA
"309",1851,"flickor",54169,NA,7479,NA,NA,138.07,NA
"310",1852,"båda könen",108305,3494,17604,NA,31.25,162.54,NA
"311",1852,"pojkar",55644,NA,9581,NA,NA,172.18,NA
"312",1852,"flickor",52661,NA,8023,NA,NA,152.35,NA
"313",1853,"båda könen",111407,3636,17940,NA,31.61,161.03,NA
"314",1853,"pojkar",56904,NA,9833,NA,NA,172.8,NA
"315",1853,"flickor",54503,NA,8107,NA,NA,148.74,NA
"316",1854,"båda könen",120107,3986,15159,NA,32.12,126.21,NA
"317",1854,"pojkar",61306,NA,8269,NA,NA,134.88,NA
"318",1854,"flickor",58801,NA,6890,NA,NA,117.17,NA
"319",1855,"båda könen",115072,3928,16672,NA,33.01,144.88,NA
"320",1855,"pojkar",59153,NA,9212,NA,NA,155.73,NA
"321",1855,"flickor",55919,NA,7460,NA,NA,133.41,NA
"322",1856,"båda könen",115082,3843,16658,NA,32.31,144.75,NA
"323",1856,"pojkar",58948,NA,9239,NA,NA,156.73,NA
"324",1856,"flickor",56134,NA,7419,NA,NA,132.17,NA
"325",1857,"båda könen",119349,4009,19743,NA,32.5,165.42,NA
"326",1857,"pojkar",61060,NA,11027,NA,NA,180.59,NA
"327",1857,"flickor",58289,NA,8716,NA,NA,149.53,NA
"328",1858,"båda könen",129039,4228,18416,NA,31.73,142.72,NA
"329",1858,"pojkar",65757,NA,10165,NA,NA,154.58,NA
"330",1858,"flickor",63282,NA,8251,NA,NA,130.38,NA
"331",1859,"båda könen",131605,4636,18836,NA,34.03,143.13,NA
"332",1859,"pojkar",67549,NA,10477,NA,NA,155.1,NA
"333",1859,"flickor",64056,NA,8359,NA,NA,130.5,NA
"334",1860,"båda könen",133162,4337,16482,NA,31.54,123.77,NA
"335",1860,"pojkar",68021,NA,8942,NA,NA,131.46,NA
"336",1860,"flickor",65141,NA,7540,NA,NA,115.75,NA
"337",1861,"båda könen",126634,4122,17382,NA,31.52,137.26,NA
"338",1861,"pojkar",64593,2332,9581,NA,34.84,148.33,NA
"339",1861,"flickor",62041,1790,7801,NA,28.04,125.74,NA
"340",1862,"båda könen",131584,4498,18327,NA,33.05,139.28,NA
"341",1862,"pojkar",67415,2590,10078,NA,37,149.49,NA
"342",1862,"flickor",64169,1908,8249,NA,28.88,128.55,NA
"343",1863,"båda könen",134279,4747,17806,NA,34.14,132.6,NA
"344",1863,"pojkar",68839,2738,9748,NA,38.25,141.61,NA
"345",1863,"flickor",65440,2009,8058,NA,29.79,123.14,NA
"346",1864,"båda könen",136004,4633,18595,NA,32.94,136.72,NA
"347",1864,"pojkar",69614,2667,10226,NA,36.9,146.9,NA
"348",1864,"flickor",66390,1966,8369,NA,28.76,126.06,NA
"349",1865,"båda könen",134281,4495,18138,NA,32.39,135.07,NA
"350",1865,"pojkar",68587,2541,10078,NA,35.72,146.94,NA
"351",1865,"flickor",65694,1954,8060,NA,28.88,122.69,NA
"352",1866,"båda könen",136989,4715,17385,NA,33.27,126.91,NA
"353",1866,"pojkar",70199,2729,9523,NA,37.42,135.66,NA
"354",1866,"flickor",66790,1986,7862,NA,28.88,117.71,NA
"355",1867,"båda könen",128832,4302,18053,NA,32.31,140.13,NA
"356",1867,"pojkar",66128,2468,9930,NA,35.98,150.16,NA
"357",1867,"flickor",62704,1834,8123,NA,28.42,129.55,NA
"358",1868,"båda könen",114955,3893,19351,NA,32.76,168.34,NA
"359",1868,"pojkar",58914,2280,10602,NA,37.26,179.96,NA
"360",1868,"flickor",56041,1613,8749,NA,27.98,156.12,NA
"361",1869,"båda könen",117677,3937,17154,NA,32.37,145.77,NA
"362",1869,"pojkar",60166,2240,9382,NA,35.89,155.94,NA
"363",1869,"flickor",57511,1697,7772,NA,28.66,135.14,NA
"364",1870,"båda könen",119838,4006,15809,NA,32.35,131.92,NA
"365",1870,"pojkar",61560,2338,8732,NA,36.59,141.85,NA
"366",1870,"flickor",58278,1668,7077,NA,27.83,121.44,NA
"367",1871,"båda könen",127333,4382,14475,NA,33.27,113.68,NA
"368",1871,"pojkar",65222,2497,8032,NA,36.87,123.15,NA
"369",1871,"flickor",62111,1885,6443,NA,29.45,103.73,NA
"370",1872,"båda könen",126983,4145,16287,NA,31.61,128.26,NA
"371",1872,"pojkar",65380,2312,9084,NA,34.15,138.94,NA
"372",1872,"flickor",61603,1833,7203,NA,28.9,116.93,NA
"373",1873,"båda könen",131643,4289,16952,NA,31.55,128.77,NA
"374",1873,"pojkar",67430,2411,9265,NA,34.52,137.4,NA
"375",1873,"flickor",64213,1878,7687,NA,28.42,119.71,NA
"376",1874,"båda könen",133249,4589,19546,NA,33.29,146.69,NA
"377",1874,"pojkar",68345,2636,10719,NA,37.14,156.84,NA
"378",1874,"flickor",64904,1953,8827,NA,29.21,136,NA
"379",1875,"båda könen",135958,4359,20251,NA,31.07,148.95,NA
"380",1875,"pojkar",69695,2449,11241,NA,33.95,161.29,NA
"381",1875,"flickor",66263,1910,9010,NA,28.02,135.97,NA
"382",1876,"båda könen",135890,4346,19052,NA,30.99,140.2,NA
"383",1876,"pojkar",69758,2484,10428,NA,34.38,149.49,NA
"384",1876,"flickor",66132,1862,8624,NA,27.38,130.41,NA
"385",1877,"båda könen",138476,4198,17381,NA,29.42,125.52,NA
"386",1877,"pojkar",71130,2414,9720,NA,32.82,136.65,NA
"387",1877,"flickor",67346,1784,7661,NA,25.81,113.76,NA
"388",1878,"båda könen",134464,3921,18042,NA,28.33,134.18,NA
"389",1878,"pojkar",69035,2232,9979,NA,31.32,144.55,NA
"390",1878,"flickor",65429,1689,8063,NA,25.16,123.23,NA
